Line | Change | Depths (D/C/M/E) | Content
1485 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1487 | D-1      | 12/1/1/2 | </div>
1488 | D-1      | 11/1/1/2 | </div>
1489 | D-1      | 10/1/1/2 | </div>
1492 | D+1      | 11/1/1/2 | <div className="space-y-8">
1494 | D+1      | 12/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1496 | D-1      | 11/1/1/2 | </div>
1497 | D-1      | 10/1/1/2 | </div>
1500 | D+1      | 11/1/1/2 | <div className="border-b border-slate-200 pb-4 text-left mt-12">
1503 | D-1      | 10/1/1/2 | </div>
1506 | D+1      | 11/1/1/2 | <div className="space-y-8">
1508 | D+1      | 12/1/1/2 | <div className="space-y-12">
1509 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm bg-
1511 | D-1      | 12/1/1/2 | </div>
1512 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm bg-
1515 | D-1      | 12/1/1/2 | </div>
1516 | D-1      | 11/1/1/2 | </div>
1517 | D-1      | 10/1/1/2 | </div>
1520 | D+1      | 11/1/1/2 | <div className="space-y-8">
1522 | D+1      | 12/1/1/2 | <div className="space-y-12">
1523 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1525 | D-1      | 12/1/1/2 | </div>
1526 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1528 | D-1      | 12/1/1/2 | </div>
1529 | D-1      | 11/1/1/2 | </div>
1530 | D-1      | 10/1/1/2 | </div>
1533 | D+1      | 11/1/1/2 | <div className="space-y-8">
1535 | D+1      | 12/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1537 | D-1      | 11/1/1/2 | </div>
1538 | D-1      | 10/1/1/2 | </div>
1539 | D-1      | 9/1/1/2 | </div>
1542 | E-1      | 9/1/1/1 | }
1544 | E+1      | 9/1/1/2 | {
1545 |          | 9/1/1/2 | activeTab === 'interactive' && (
1546 | D+1      | 10/1/1/2 | <div className="space-y-24 animate-in fade-in slide-in-from-bottom-4 duration-50
1547 | D+1      | 11/1/1/2 | <div className="border-b border-slate-200 pb-4 text-left">
1550 | D-1      | 10/1/1/2 | </div>
1553 | D+1      | 11/1/1/2 | <div className="space-y-8">
1555 | D+1      | 12/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-2 gap-8">
1556 | D+1      | 13/1/1/2 | <div className="p-8 border border-slate-200 rounded-xl overflow-hidden shadow-sm
1559 | D-1      | 12/1/1/2 | </div>
1560 | D+1      | 13/1/1/2 | <div className="p-8 border border-slate-200 rounded-xl overflow-hidden shadow-sm
1563 | D-1      | 12/1/1/2 | </div>
1564 | D-1      | 11/1/1/2 | </div>
1565 | D-1      | 10/1/1/2 | </div>
1568 | D+1      | 11/1/1/2 | <div className="space-y-8">
1570 | D+1      | 12/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-3 gap-8">
1571 | D+1      | 13/1/1/2 | <div className="p-8 border border-slate-200 rounded-xl overflow-hidden shadow-sm
1574 | D-1      | 12/1/1/2 | </div>
1575 | D+1      | 13/1/1/2 | <div className="p-8 border border-slate-200 rounded-xl overflow-hidden shadow-sm
1578 | D-1      | 12/1/1/2 | </div>
1579 | D+1      | 13/1/1/2 | <div className="p-8 border border-slate-200 rounded-xl overflow-hidden shadow-sm
1582 | D-1      | 12/1/1/2 | </div>
1583 | D-1      | 11/1/1/2 | </div>
1584 | D-1      | 10/1/1/2 | </div>
1587 | D+1      | 11/1/1/2 | <div className="space-y-8">
1589 | D+1      | 12/1/1/2 | <div className="grid grid-cols-1 xl:grid-cols-2 gap-8">
1590 | D+1      | 13/1/1/2 | <div className="p-8 border border-slate-200 rounded-xl overflow-hidden shadow-sm
1593 | D-1      | 12/1/1/2 | </div>
1594 | D+1      | 13/1/1/2 | <div className="p-8 border border-slate-200 rounded-xl overflow-hidden shadow-sm
1597 | D-1      | 12/1/1/2 | </div>
1598 | D+1      | 13/1/1/2 | <div className="p-8 border border-slate-200 rounded-xl overflow-hidden shadow-sm
1601 | D-1      | 12/1/1/2 | </div>
1602 | D-1      | 11/1/1/2 | </div>
1603 | D-1      | 10/1/1/2 | </div>
1606 | D+1      | 11/1/1/2 | <div className="space-y-8">
1608 | D+1      | 12/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-2 gap-8">
1609 | D+1      | 13/1/1/2 | <div className="p-8 border border-slate-200 rounded-xl overflow-hidden shadow-sm
1612 | D-1      | 12/1/1/2 | </div>
1613 | D+1      | 13/1/1/2 | <div className="p-8 border border-slate-200 rounded-xl overflow-hidden shadow-sm
1616 | D-1      | 12/1/1/2 | </div>
1617 | D-1      | 11/1/1/2 | </div>
1618 | D-1      | 10/1/1/2 | </div>
1620 | D-1      | 9/1/1/2 | </div>
1623 | E-1      | 9/1/1/1 | }
1626 | E+1      | 9/1/1/2 | {
1627 |          | 9/1/1/2 | activeTab === 'screens' && (
1628 | D+1      | 10/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
1629 | D+1      | 11/1/1/2 | <div className="border-b border-slate-200 dark:border-slate-800 pb-4 flex justif
1630 | D+1      | 12/1/1/2 | <div>
1633 | D-1      | 11/1/1/2 | </div>
1635 | D-1      | 10/1/1/2 | </div>
1638 | D+1      | 11/1/1/2 | <div className="space-y-8 mb-16 pb-16 border-b border-slate-200 dark:border-slat
1640 | D+1      | 12/1/1/2 | <div className="w-20 h-20 bg-blue-600/10 dark:bg-blue-500/10 rounded-[40px] flex
1642 | D-1      | 11/1/1/2 | </div>
1643 | D+1      | 12/1/1/2 | <div className="space-y-2">
1648 | D-1      | 11/1/1/2 | </div>
1651 | D-1      | 10/1/1/2 | </div>
1653 | D+1      | 11/1/1/2 | <div className="pb-8">
1656 | E+1      | 11/1/1/3 | {savedScreens.length === 0 ? (
1657 | D+1      | 12/1/1/3 | <div className="py-20 flex flex-col items-center justify-center text-center bg-w
1658 | D+1      | 13/1/1/3 | <div className="w-16 h-16 bg-slate-100 dark:bg-slate-800 rounded-2xl flex items-
1660 | D-1      | 12/1/1/3 | </div>
1663 | D-1      | 11/1/1/3 | </div>
1665 | D+1      | 12/1/1/3 | <div className="grid grid-cols-1 md:grid-cols-2 xl:grid-cols-3 gap-8">
1666 | E+1      | 12/1/1/4 | {savedScreens.map(screen => (
1669 | D+1      | 13/1/1/4 | <div className="h-48 bg-slate-100 dark:bg-slate-800 flex items-center justify-ce
1670 | D+1      | 14/1/1/4 | <div className="absolute inset-0 bg-gradient-to-br from-blue-600/5 to-transparen
1672 | D+1      | 15/1/1/4 | <div className="absolute inset-0 bg-blue-600/0 group-hover:bg-blue-600/40 transi
1674 | D-1      | 14/1/1/4 | </div>
1675 | D-1      | 13/1/1/4 | </div>
1678 | D+1      | 14/1/1/4 | <div className="flex justify-between items-start mb-4">
1679 | D+1      | 15/1/1/4 | <div>
1684 | D-1      | 14/1/1/4 | </div>
1686 | D-1      | 13/1/1/4 | </div>
1687 | D+1      | 14/1/1/4 | <div className="flex gap-2 mt-6">
1690 | D-1      | 13/1/1/4 | </div>
1693 | E-1      | 13/1/1/3 | ))}
1694 | D-1      | 12/1/1/3 | </div>
1695 | E-1      | 12/1/1/2 | )}
1696 | D-1      | 11/1/1/2 | </div>
1699 | D+1      | 12/1/1/2 | <div className="space-y-12">
1700 | D+1      | 13/1/1/2 | <div className="flex items-center gap-4">
1701 | D+1      | 14/1/1/2 | <div className="h-px flex-1 bg-slate-200 dark:bg-slate-800" />
1703 | D+1      | 15/1/1/2 | <div className="h-px flex-1 bg-slate-200 dark:bg-slate-800" />
1704 | D-1      | 14/1/1/2 | </div>
1706 | D+1      | 15/1/1/2 | <div className="space-y-8">
1709 | D+1      | 16/1/1/2 | <div>
1712 | D-1      | 15/1/1/2 | </div>
1716 | D+1      | 16/1/1/2 | <div className="bg-slate-100 dark:bg-slate-900/50 p-12">
1718 | D-1      | 15/1/1/2 | </div>
1721 | D-1      | 14/1/1/2 | </div>
1722 | D-1      | 13/1/1/2 | </div>
1723 | D-1      | 12/1/1/2 | </div>
1725 | E-1      | 12/1/1/1 | }
1728 | E+1      | 12/1/1/2 | {
1729 |          | 12/1/1/2 | activeTab === 'ai' && (
1730 | D+1      | 13/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
1731 | D+1      | 14/1/1/2 | <div className="border-b border-slate-200 dark:border-slate-800 pb-4">
1734 | D-1      | 13/1/1/2 | </div>
1736 | D+1      | 14/1/1/2 | <div className="grid grid-cols-1 lg:grid-cols-2 gap-12">
1737 | D+1      | 15/1/1/2 | <div className="space-y-8">
1739 | D+1      | 16/1/1/2 | <div className="bg-slate-100 dark:bg-slate-800/50 p-12 rounded-[32px] border bor
1740 | D+1      | 17/1/1/2 | <div className="relative">
1741 | D+1      | 18/1/1/2 | <div className="absolute -inset-4 bg-indigo-500/20 blur-3xl rounded-full" />
1743 | D-1      | 17/1/1/2 | </div>
1744 | D+1      | 18/1/1/2 | <div className="space-y-2 relative">
1749 | D-1      | 17/1/1/2 | </div>
1750 | D-1      | 16/1/1/2 | </div>
1751 | D-1      | 15/1/1/2 | </div>
1753 | D+1      | 16/1/1/2 | <div className="space-y-8">
1757 | D+1      | 17/1/1/2 | <div className="flex items-center gap-3">
1760 | D-1      | 16/1/1/2 | </div>
1761 | D+1      | 17/1/1/2 | <div className="space-y-4">
1762 | D+1      | 18/1/1/2 | <div className="p-4 bg-white/50 dark:bg-slate-800/50 rounded-2xl border border-i
1764 | D-1      | 17/1/1/2 | </div>
1768 | D-1      | 16/1/1/2 | </div>
1771 | D-1      | 15/1/1/2 | </div>
1772 | D-1      | 14/1/1/2 | </div>
1774 | E-1      | 14/1/1/1 | }
1775 | C-1      | 14/0/1/1 | </Container>
1776 | M-1      | 14/0/0/1 | </main>
1799 | D+1      | 15/0/0/1 | <div className="space-y-6">
1800 | D+1      | 16/0/0/1 | <div className="flex items-center justify-between p-4 bg-slate-50 rounded-2xl bo
1801 | D+1      | 17/0/0/1 | <div>
1804 | D-1      | 16/0/0/1 | </div>
1806 | D-1      | 15/0/0/1 | </div>
1807 | D-1      | 14/0/0/1 | </div>
1811 | C+1      | 14/1/0/1 | <Container className="flex justify-between items-center text-slate-400 text-sm">
1814 | C-1      | 14/0/0/1 | </Container>
1817 | D+1      | 15/0/0/1 | <div className="fixed bottom-8 right-8 z-[100] flex flex-col gap-4 w-full max-w-
1818 | E+1      | 15/0/0/2 | {notifications.map(n => (
1820 | E-1      | 15/0/0/1 | ))}
1821 | D-1      | 14/0/0/1 | </div>
1822 | D-1      | 13/0/0/1 | </div>
1824 | E-1      | 13/0/0/0 | }
