Line | Change | Depths (D/C/M/E) | Content
470  | D+1      | 6/1/1/2 | <div className="space-y-4">
487  | D-1      | 5/1/1/2 | </div>
488  | D+1      | 6/1/1/2 | <div className="bg-white p-6 rounded-[32px] border border-slate-200 shadow-sm fl
495  | D-1      | 5/1/1/2 | </div>
496  | D-1      | 4/1/1/2 | </div>
497  | D-1      | 3/1/1/2 | </div>
498  | D-1      | 2/1/1/2 | </div>
499  | D-1      | 1/1/1/2 | </div>
500  | E-1      | 1/1/1/1 | )}
503  | E+1      | 1/1/1/2 | {activeTab === 'navigation' && (
504  | D+1      | 2/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
505  | D+1      | 3/1/1/2 | <div className="border-b border-slate-200 dark:border-slate-800 pb-4">
508  | D-1      | 2/1/1/2 | </div>
511  | D+1      | 3/1/1/2 | <div className="space-y-6">
513  | D+1      | 4/1/1/2 | <div className="flex items-center gap-6 p-6 bg-slate-900 rounded-[32px] shadow-2
515  | E+1      | 4/1/1/3 | trigger={
516  | D+1      | 5/1/1/3 | <div className="flex items-center gap-2 px-4 py-2 text-[12px] font-black upperca
518  | D-1      | 4/1/1/3 | </div>
519  | E-1      | 4/1/1/2 | }
520  | E+1      | 4/1/1/3 | categories={[
521  | E+1      | 4/1/1/4 | {
528  | E-1      | 4/1/1/3 | },
529  | E+1      | 4/1/1/4 | {
536  | E-1      | 4/1/1/3 | }
537  | E-1      | 4/1/1/2 | ]}
540  | D+1      | 5/1/1/2 | <div className="h-4 w-px bg-white/10" />
544  | D-1      | 4/1/1/2 | </div>
546  | E+1      | 4/1/1/3 | items={[
551  | E-1      | 4/1/1/2 | ]}
554  | D-1      | 3/1/1/2 | </div>
555  | D+1      | 4/1/1/2 | <div className="bg-white dark:bg-slate-900 p-6 rounded-[32px] border border-slat
564  | D-1      | 3/1/1/2 | </div>
565  | D-1      | 2/1/1/2 | </div>
567  | E-1      | 2/1/1/1 | }
570  | E+1      | 2/1/1/2 | {
571  |          | 2/1/1/2 | activeTab === 'overlays' && (
572  | D+1      | 3/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
573  | D+1      | 4/1/1/2 | <div className="border-b border-slate-200 pb-4">
576  | D-1      | 3/1/1/2 | </div>
578  | D+1      | 4/1/1/2 | <div className="grid grid-cols-1 lg:grid-cols-2 gap-12">
580  | D+1      | 5/1/1/2 | <div className="space-y-8">
591  | D-1      | 4/1/1/2 | </div>
594  | D+1      | 5/1/1/2 | <div className="space-y-8">
608  | D-1      | 4/1/1/2 | </div>
611  | D+1      | 5/1/1/2 | <div className="space-y-8 lg:col-span-2">
613  | D+1      | 6/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-2 lg:grid-cols-4 gap-6">
630  | D-1      | 5/1/1/2 | </div>
631  | D-1      | 4/1/1/2 | </div>
633  | E-1      | 4/1/1/1 | }
636  | E+1      | 4/1/1/2 | {
637  |          | 4/1/1/2 | activeTab === 'forms' && (
638  | D+1      | 5/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
639  | D+1      | 6/1/1/2 | <div className="border-b border-slate-200 dark:border-slate-800 pb-4">
642  | D-1      | 5/1/1/2 | </div>
644  | D+1      | 6/1/1/2 | <div className="grid grid-cols-1 xl:grid-cols-2 gap-12">
646  | D+1      | 7/1/1/2 | <div className="space-y-8">
650  | D+1      | 8/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-2 gap-6">
651  | D+1      | 9/1/1/2 | <div className="space-y-2">
654  | D-1      | 8/1/1/2 | </div>
655  | D+1      | 9/1/1/2 | <div className="space-y-2">
662  | D-1      | 8/1/1/2 | </div>
663  | D-1      | 7/1/1/2 | </div>
664  | D+1      | 8/1/1/2 | <div className="flex gap-12 p-6 bg-slate-50 rounded-[32px] border border-slate-1
665  | D+1      | 9/1/1/2 | <div className="flex items-center gap-3">
668  | D-1      | 8/1/1/2 | </div>
669  | D+1      | 9/1/1/2 | <div className="flex items-center gap-3">
672  | D-1      | 8/1/1/2 | </div>
673  | D-1      | 7/1/1/2 | </div>
674  | D+1      | 8/1/1/2 | <div className="space-y-2">
677  | D-1      | 7/1/1/2 | </div>
683  | D+1      | 8/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-2 gap-8">
707  | D-1      | 7/1/1/2 | </div>
713  | E+1      | 7/1/1/3 | options={[
717  | E-1      | 7/1/1/2 | ]}
719  | D-1      | 6/1/1/2 | </div>
722  | D+1      | 7/1/1/2 | <div className="space-y-8">
724  | D+1      | 8/1/1/2 | <div className="space-y-4">
729  | D-1      | 7/1/1/2 | </div>
737  | D+1      | 8/1/1/2 | <div className="flex items-center justify-between">
738  | D+1      | 9/1/1/2 | <div>
741  | D-1      | 8/1/1/2 | </div>
742  | D-1      | 7/1/1/2 | </div>
744  | D-1      | 6/1/1/2 | </div>
745  | D+1      | 7/1/1/2 | <div className="grid grid-cols-1 gap-16">
747  | D+1      | 8/1/1/2 | <div className="space-y-6">
750  | D-1      | 7/1/1/2 | </div>
751  | D+1      | 8/1/1/2 | <div className="space-y-6">
754  | D-1      | 7/1/1/2 | </div>
755  | D+1      | 8/1/1/2 | <div className="space-y-6">
758  | D-1      | 7/1/1/2 | </div>
759  | D-1      | 6/1/1/2 | </div>
760  | D-1      | 5/1/1/2 | </div>
762  | E-1      | 5/1/1/1 | }
765  | E+1      | 5/1/1/2 | {
766  |          | 5/1/1/2 | activeTab === 'tables' && (
767  | D+1      | 6/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
768  | D+1      | 7/1/1/2 | <div className="border-b border-slate-200 dark:border-slate-800 pb-4">
771  | D-1      | 6/1/1/2 | </div>
774  | D+1      | 7/1/1/2 | <div className="space-y-8">
776  | D+1      | 8/1/1/2 | <div className="space-y-4">
779  | E+1      | 8/1/1/3 | columns={[
785  | E-1      | 8/1/1/2 | ]}
786  | E+1      | 8/1/1/3 | data={[
791  | E-1      | 8/1/1/2 | ]}
793  | D-1      | 7/1/1/2 | </div>
794  | D-1      | 6/1/1/2 | </div>
797  | D+1      | 7/1/1/2 | <div className="space-y-8">
799  | D+1      | 8/1/1/2 | <div className="grid grid-cols-1 gap-12">
801  | D+1      | 9/1/1/2 | <div className="space-y-4">
810  | D-1      | 8/1/1/2 | </div>
813  | D+1      | 9/1/1/2 | <div className="space-y-4">
823  | D-1      | 8/1/1/2 | </div>
826  | D+1      | 9/1/1/2 | <div className="space-y-4">
835  | D-1      | 8/1/1/2 | </div>
836  | D-1      | 7/1/1/2 | </div>
837  | D-1      | 6/1/1/2 | </div>
840  | D+1      | 7/1/1/2 | <div className="space-y-8">
842  | D+1      | 8/1/1/2 | <div className="grid grid-cols-1 gap-12">
844  | D+1      | 9/1/1/2 | <div className="space-y-4">
846  | D+1      | 10/1/1/2 | <div className="h-48 overflow-auto rounded-3xl border border-slate-200 shadow-sm
857  | E+1      | 10/1/1/3 | {[1, 2, 3, 4, 5, 6, 7, 8].map(i => (
864  | E-1      | 10/1/1/2 | ))}
867  | D-1      | 9/1/1/2 | </div>
868  | D-1      | 8/1/1/2 | </div>
871  | D+1      | 9/1/1/2 | <div className="space-y-4">
903  | D-1      | 8/1/1/2 | </div>
904  | D-1      | 7/1/1/2 | </div>
905  | D-1      | 6/1/1/2 | </div>
908  | D+1      | 7/1/1/2 | <div className="space-y-8">
910  | D+1      | 8/1/1/2 | <div className="grid grid-cols-1 gap-12">
912  | D+1      | 9/1/1/2 | <div className="space-y-4">
919  | D+1      | 10/1/1/2 | <div className="flex items-center gap-3">
921  | D+1      | 11/1/1/2 | <div>
924  | D-1      | 10/1/1/2 | </div>
925  | D-1      | 9/1/1/2 | </div>
930  | D+1      | 10/1/1/2 | <div className="w-full bg-slate-100 h-1.5 rounded-full overflow-hidden">
931  | D+1      | 11/1/1/2 | <div className="bg-emerald-500 h-full w-[85%]" />
932  | D-1      | 10/1/1/2 | </div>
937  | D+1      | 11/1/1/2 | <div className="flex items-center gap-3">
939  | D+1      | 12/1/1/2 | <div>
942  | D-1      | 11/1/1/2 | </div>
943  | D-1      | 10/1/1/2 | </div>
948  | D+1      | 11/1/1/2 | <div className="w-full bg-slate-100 h-1.5 rounded-full overflow-hidden">
949  | D+1      | 12/1/1/2 | <div className="bg-amber-500 h-full w-[45%]" />
950  | D-1      | 11/1/1/2 | </div>
955  | D-1      | 10/1/1/2 | </div>
958  | D+1      | 11/1/1/2 | <div className="space-y-4">
982  | D-1      | 10/1/1/2 | </div>
983  | D-1      | 9/1/1/2 | </div>
984  | D-1      | 8/1/1/2 | </div>
987  | D+1      | 9/1/1/2 | <div className="space-y-8">
989  | D+1      | 10/1/1/2 | <div className="grid grid-cols-1 gap-12">
991  | D+1      | 11/1/1/2 | <div className="space-y-4">
993  | D+1      | 12/1/1/2 | <div className="block md:hidden space-y-4">
994  | E+1      | 12/1/1/3 | {[1, 2].map(i => (
996  | D+1      | 13/1/1/3 | <div className="flex justify-between items-center border-b border-slate-100 pb-2
999  | D-1      | 12/1/1/3 | </div>
1000 | D+1      | 13/1/1/3 | <div className="flex justify-between items-center border-b border-slate-100 pb-2
1003 | D-1      | 12/1/1/3 | </div>
1004 | D+1      | 13/1/1/3 | <div className="flex justify-between items-center">
1007 | D-1      | 12/1/1/3 | </div>
1009 | E-1      | 12/1/1/2 | ))}
1011 | D-1      | 11/1/1/2 | </div>
1012 | D+1      | 12/1/1/2 | <div className="hidden md:block bg-slate-50 dark:bg-slate-900/50 p-12 rounded-[3
1014 | D-1      | 11/1/1/2 | </div>
1015 | D-1      | 10/1/1/2 | </div>
1018 | D+1      | 11/1/1/2 | <div className="space-y-4">
1027 | D-1      | 10/1/1/2 | </div>
1030 | D+1      | 11/1/1/2 | <div className="space-y-4">
1032 | D+1      | 12/1/1/2 | <div className="overflow-x-auto">
1049 | D+1      | 13/1/1/2 | <TableCell><div className="flex items-center gap-1.5"><div className="w-2 h-2 bg
1053 | D-1      | 12/1/1/2 | </div>
1055 | D-1      | 11/1/1/2 | </div>
1058 | D+1      | 12/1/1/2 | <div className="space-y-4">
1060 | D+1      | 13/1/1/2 | <div className="max-w-md">
1077 | D-1      | 12/1/1/2 | </div>
1078 | D-1      | 11/1/1/2 | </div>
1079 | D-1      | 10/1/1/2 | </div>
1080 | D-1      | 9/1/1/2 | </div>
1082 | D+1      | 10/1/1/2 | <div className="space-y-8">
1084 | D+1      | 11/1/1/2 | <div className="bg-white dark:bg-slate-900 rounded-[32px] border border-slate-20
1085 | D+1      | 12/1/1/2 | <div className="p-8 border-b border-slate-100 dark:border-slate-800 flex justify
1086 | D+1      | 13/1/1/2 | <div>
1089 | D-1      | 12/1/1/2 | </div>
1090 | D+1      | 13/1/1/2 | <div className="flex gap-2">
1093 | D-1      | 12/1/1/2 | </div>
1094 | D-1      | 11/1/1/2 | </div>
1105 | E+1      | 11/1/1/3 | {[
1120 | E-1      | 11/1/1/2 | ))}
1123 | D-1      | 10/1/1/2 | </div>
1124 | D-1      | 9/1/1/2 | </div>
1125 | D-1      | 8/1/1/2 | </div>
1127 | E-1      | 8/1/1/1 | }
1130 | E+1      | 8/1/1/2 | {
1131 |          | 8/1/1/2 | activeTab === 'display' && (
1132 | D+1      | 9/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
1133 | D+1      | 10/1/1/2 | <div className="border-b border-slate-200 pb-4">
1136 | D-1      | 9/1/1/2 | </div>
1138 | D+1      | 10/1/1/2 | <div className="space-y-12">
1140 | D+1      | 11/1/1/2 | <div className="space-y-6">
1143 | E+1      | 11/1/1/3 | events={[
1146 | E-1      | 11/1/1/2 | ]}
1148 | D-1      | 10/1/1/2 | </div>
1151 | D+1      | 11/1/1/2 | <div className="grid grid-cols-1 xl:grid-cols-2 gap-12">
1152 | D+1      | 12/1/1/2 | <div className="space-y-6">
1156 | E+1      | 12/1/1/3 | <Feed items={[
1160 | E-1      | 12/1/1/2 | ]} />
1163 | D-1      | 11/1/1/2 | </div>
1165 | D+1      | 12/1/1/2 | <div className="space-y-6">
1169 | E+1      | 12/1/1/3 | <DescriptionList items={[
1173 | E-1      | 12/1/1/2 | ]} />
1176 | D-1      | 11/1/1/2 | </div>
1177 | D-1      | 10/1/1/2 | </div>
1178 | D-1      | 9/1/1/2 | </div>
1179 | D-1      | 8/1/1/2 | </div>
1182 | E-1      | 8/1/1/1 | }
1187 | E+1      | 8/1/1/2 | {
1188 |          | 8/1/1/2 | activeTab === 'kpi' && (
1189 | D+1      | 9/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
1190 | D+1      | 10/1/1/2 | <div className="border-b border-slate-200 pb-4">
1193 | D-1      | 9/1/1/2 | </div>
1196 | D+1      | 10/1/1/2 | <div className="space-y-6">
1198 | D+1      | 11/1/1/2 | <div className="relative group max-w-xl mx-auto">
1199 | D+1      | 12/1/1/2 | <div className="overflow-hidden rounded-[32px]">
1200 | D+1      | 13/1/1/2 | <div className="transition-transform duration-500 ease-out flex" style={{ transf
1201 | E+1      | 13/1/1/3 | {kpiSlides.map((slide, idx) => (
1202 | D+1      | 14/1/1/3 | <div key={idx} className="w-full flex-none">
1213 | D-1      | 13/1/1/3 | </div>
1214 | E-1      | 13/1/1/2 | ))}
1215 | D-1      | 12/1/1/2 | </div>
1216 | D-1      | 11/1/1/2 | </div>
1233 | D+1      | 12/1/1/2 | <div className="absolute bottom-6 left-1/2 -translate-x-1/2 flex gap-1.5">
1234 | E+1      | 12/1/1/3 | {kpiSlides.map((_, idx) => (
1235 | D+1 E+1  | 13/1/1/4 | <div key={idx} className={cn(
1238 | E-1      | 13/1/1/3 | )} />
1239 | E-1      | 13/1/1/2 | ))}
1240 | D-1      | 12/1/1/2 | </div>
1241 | D-1      | 11/1/1/2 | </div>
1242 | D-1      | 10/1/1/2 | </div>
1245 | D+1      | 11/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-3 gap-8 mb-12">
1249 | D-1      | 10/1/1/2 | </div>
1251 | D+1      | 11/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-2 lg:grid-cols-4 gap-8">
1252 | D+1      | 12/1/1/2 | <div className="space-y-6">
1256 | D-1      | 11/1/1/2 | </div>
1257 | D+1      | 12/1/1/2 | <div className="space-y-6">
1261 | D-1      | 11/1/1/2 | </div>
1262 | D+1      | 12/1/1/2 | <div className="space-y-6">
1266 | D-1      | 11/1/1/2 | </div>
1267 | D+1      | 12/1/1/2 | <div className="space-y-6">
1271 | D-1      | 11/1/1/2 | </div>
1272 | D-1      | 10/1/1/2 | </div>
1273 | D-1      | 9/1/1/2 | </div>
1275 | D-1      | 8/1/1/2 | </div>
1277 | E-1      | 8/1/1/1 | }
1280 | E+1      | 8/1/1/2 | {
1281 |          | 8/1/1/2 | activeTab === 'application' && (
1282 | D+1      | 9/1/1/2 | <div className="space-y-12 animate-in fade-in slide-in-from-bottom-4 duration-50
1283 | D+1      | 10/1/1/2 | <div className="border-b border-slate-200 pb-4 text-left">
1286 | D-1      | 9/1/1/2 | </div>
1288 | D+1      | 10/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-2 gap-8 text-left">
1301 | D+1      | 11/1/1/2 | <div className="flex items-center justify-between p-4 bg-emerald-50 rounded-2xl 
1302 | D+1      | 12/1/1/2 | <div>
1305 | D-1      | 11/1/1/2 | </div>
1306 | D+1      | 12/1/1/2 | <div className="w-2 h-2 bg-emerald-500 rounded-full animate-pulse" />
1307 | D-1      | 11/1/1/2 | </div>
1314 | D-1      | 10/1/1/2 | </div>
1315 | D-1      | 9/1/1/2 | </div>
1317 | D-1      | 8/1/1/2 | </div>
1319 | E-1      | 8/1/1/1 | }
1322 | E+1      | 8/1/1/2 | {
1323 |          | 8/1/1/2 | activeTab === 'carousel' && (
1324 | D+1      | 9/1/1/2 | <div className="space-y-16 animate-in fade-in slide-in-from-bottom-4 duration-50
1325 | D+1      | 10/1/1/2 | <div className="border-b border-slate-200 dark:border-slate-800 pb-4">
1328 | D-1      | 9/1/1/2 | </div>
1330 | D+1      | 10/1/1/2 | <div className="space-y-12">
1331 | D+1      | 11/1/1/2 | <div className="space-y-6">
1334 | E+1      | 11/1/1/3 | items={[
1335 | D+1      | 12/1/1/3 | <div className="h-64 bg-slate-900 flex items-center justify-center text-white p-
1336 | D+1      | 13/1/1/3 | <div className="text-center">
1339 | D-1      | 12/1/1/3 | </div>
1340 | D-1      | 11/1/1/3 | </div>,
1341 | D+1      | 12/1/1/3 | <div className="h-64 bg-blue-600 flex items-center justify-center text-white p-1
1342 | D+1      | 13/1/1/3 | <div className="text-center">
1345 | D-1      | 12/1/1/3 | </div>
1346 | D-1      | 11/1/1/3 | </div>,
1347 | D+1      | 12/1/1/3 | <div className="h-64 bg-emerald-600 flex items-center justify-center text-white 
1348 | D+1      | 13/1/1/3 | <div className="text-center">
1351 | D-1      | 12/1/1/3 | </div>
1352 | D-1      | 11/1/1/3 | </div>
1353 | E-1      | 11/1/1/2 | ]}
1355 | D-1      | 10/1/1/2 | </div>
1357 | D+1      | 11/1/1/2 | <div className="space-y-6">
1361 | E+1      | 11/1/1/3 | items={[
1362 | D+1      | 12/1/1/3 | <div className="h-40 bg-amber-100 dark:bg-amber-900/30 rounded-2xl flex flex-col
1365 | D-1      | 11/1/1/3 | </div>,
1366 | D+1      | 12/1/1/3 | <div className="h-40 bg-blue-100 dark:bg-blue-900/30 rounded-2xl flex flex-col i
1369 | D-1      | 11/1/1/3 | </div>,
1370 | D+1      | 12/1/1/3 | <div className="h-40 bg-emerald-100 dark:bg-emerald-900/30 rounded-2xl flex flex
1373 | D-1      | 11/1/1/3 | </div>,
1374 | D+1      | 12/1/1/3 | <div className="h-40 bg-purple-100 dark:bg-purple-900/30 rounded-2xl flex flex-c
1377 | D-1      | 11/1/1/3 | </div>,
1378 | D+1      | 12/1/1/3 | <div className="h-40 bg-rose-100 dark:bg-rose-900/30 rounded-2xl flex flex-col i
1381 | D-1      | 11/1/1/3 | </div>
1382 | E-1      | 11/1/1/2 | ]}
1384 | D-1      | 10/1/1/2 | </div>
1386 | D+1      | 11/1/1/2 | <div className="grid grid-cols-1 md:grid-cols-2 gap-8">
1387 | D+1      | 12/1/1/2 | <div className="space-y-6">
1391 | E+1      | 12/1/1/3 | items={[
1398 | E-1      | 12/1/1/2 | ]}
1400 | D-1      | 11/1/1/2 | </div>
1401 | D+1      | 12/1/1/2 | <div className="space-y-6">
1405 | E+1      | 12/1/1/3 | items={[
1409 | E-1      | 12/1/1/2 | ]}
1411 | D-1      | 11/1/1/2 | </div>
1412 | D-1      | 10/1/1/2 | </div>
1413 | D-1      | 9/1/1/2 | </div>
1415 | E-1      | 9/1/1/1 | }
1417 | E+1      | 9/1/1/2 | {
1418 |          | 9/1/1/2 | activeTab === 'sections' && (
1419 | D+1      | 10/1/1/2 | <div className="space-y-24 animate-in fade-in slide-in-from-bottom-4 duration-50
1420 | D+1      | 11/1/1/2 | <div className="border-b border-slate-200 pb-4 text-left">
1423 | D-1      | 10/1/1/2 | </div>
1426 | D+1      | 11/1/1/2 | <div className="space-y-8">
1428 | D+1      | 12/1/1/2 | <div className="space-y-12">
1429 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1431 | D-1      | 12/1/1/2 | </div>
1432 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1434 | D-1      | 12/1/1/2 | </div>
1435 | D-1      | 11/1/1/2 | </div>
1436 | D-1      | 10/1/1/2 | </div>
1439 | D+1      | 11/1/1/2 | <div className="space-y-8">
1441 | D+1      | 12/1/1/2 | <div className="space-y-12">
1442 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1444 | D-1      | 12/1/1/2 | </div>
1445 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1447 | D-1      | 12/1/1/2 | </div>
1448 | D-1      | 11/1/1/2 | </div>
1449 | D-1      | 10/1/1/2 | </div>
1453 | D+1      | 11/1/1/2 | <div className="space-y-8">
1455 | D+1      | 12/1/1/2 | <div className="space-y-12">
1456 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1458 | D-1      | 12/1/1/2 | </div>
1459 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1461 | D-1      | 12/1/1/2 | </div>
1462 | D-1      | 11/1/1/2 | </div>
1463 | D-1      | 10/1/1/2 | </div>
1466 | D+1      | 11/1/1/2 | <div className="space-y-8">
1468 | D+1      | 12/1/1/2 | <div className="space-y-12">
1469 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1471 | D-1      | 12/1/1/2 | </div>
1472 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1474 | D-1      | 12/1/1/2 | </div>
1475 | D-1      | 11/1/1/2 | </div>
1476 | D-1      | 10/1/1/2 | </div>
1479 | D+1      | 11/1/1/2 | <div className="space-y-8">
1481 | D+1      | 12/1/1/2 | <div className="space-y-12">
1482 | D+1      | 13/1/1/2 | <div className="border border-slate-200 rounded-xl overflow-hidden shadow-sm">
1484 | D-1      | 12/1/1/2 | </div>
